* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
2398, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, mocreatures:anchovy, 12, 1, 6
2399, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, mocreatures:cod, 10, 1, 4
2400, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, benssharks:tiger_shark, 10, 1, 1
2401, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, benssharks:whale_shark, 10, 1, 1
2402, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, benssharks:whitetip_shark, 10, 1, 1
2403, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, world:shipsmall, 70, 2, 4
2404, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
2405, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 10, 1, 3
2406, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
2407, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, benssharks:barracuda, 10, 1, 1
2408, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, benssharks:krill, 20, 5, 12
2409, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, benssharks:pilot_fish, 12, 3, 5
2410, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, benssharks:remora, 10, 1, 3
2411, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, threateningly_mobs:riptooth, 10, 1, 1
2412, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, threateningly_mobs:tide_specter, 10, 1, 1
2413, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
2414, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
2415, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
2416, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
2417, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
2418, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
2419, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 20, 1, 4
2420, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 20, 1, 1
2421, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 10, 1, 1
2422, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:abomination, 20, 1, 1
2423, ocean, minecraft:deep_ocean, MONSTER, monsterplus:abyssologer, 10, 1, 1
2424, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:air_elemental, 15, 1, 2
2425, ocean, minecraft:deep_ocean, MONSTER, knights:archer, 40, 2, 3
2426, ocean, minecraft:deep_ocean, MONSTER, threateningly_mobs:beast_horseshoe_crab, 12, 1, 1
2427, ocean, minecraft:deep_ocean, MONSTER, ddenizens:beholder, 10, 1, 1
2428, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:bloated, 10, 1, 1
2429, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:brood_spider, 35, 1, 1
2430, ocean, minecraft:deep_ocean, MONSTER, threateningly_mobs:cannon_crab, 20, 1, 1
2431, ocean, minecraft:deep_ocean, MONSTER, threateningly_mobs:cave_hunter, 12, 1, 1
2432, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:crumbling_skeleton, 50, 1, 1
2433, ocean, minecraft:deep_ocean, MONSTER, monsterplus:crystal_zombie, 80, 2, 7
2434, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:crystalline_golem, 20, 1, 1
2435, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:crystalline_spider, 45, 1, 3
2436, ocean, minecraft:deep_ocean, MONSTER, ddenizens:daemon, 10, 1, 1
2437, ocean, minecraft:deep_ocean, MONSTER, ddenizens:death_tyrant, 10, 1, 1
2438, ocean, minecraft:deep_ocean, MONSTER, threateningly_mobs:elite_zombie_warrior, 10, 1, 2
2439, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:embersmog, 40, 1, 3
2440, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:event_spawn, 20, 1, 1
2441, ocean, minecraft:deep_ocean, MONSTER, ddenizens:fossilized_skeleton, 25, 1, 2
2442, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:fungal_ghoul, 60, 1, 2
2443, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:gargoyle, 50, 1, 3
2444, ocean, minecraft:deep_ocean, MONSTER, ddenizens:gazer, 25, 1, 1
2445, ocean, minecraft:deep_ocean, MONSTER, ddenizens:ghoul, 25, 1, 1
2446, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:giant_spider, 10, 1, 1
2447, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:gloomknight, 5, 1, 1
2448, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:gloomweaver, 30, 1, 2
2449, ocean, minecraft:deep_ocean, MONSTER, monsterplus:glow_skeleton, 80, 1, 5
2450, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:gnasheart, 60, 1, 4
2451, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:graven, 36, 3, 5
2452, ocean, minecraft:deep_ocean, MONSTER, ddenizens:headless, 40, 1, 1
2453, ocean, minecraft:deep_ocean, MONSTER, knights:heavyknight, 40, 1, 1
2454, ocean, minecraft:deep_ocean, MONSTER, threateningly_mobs:hydra, 10, 1, 1
2455, ocean, minecraft:deep_ocean, MONSTER, ddenizens:iron_skeleton, 15, 1, 1
2456, ocean, minecraft:deep_ocean, MONSTER, knights:knight, 50, 3, 5
2457, ocean, minecraft:deep_ocean, MONSTER, threateningly_mobs:lich_re, 10, 1, 1
2458, ocean, minecraft:deep_ocean, MONSTER, ddenizens:magma_skeleton, 40, 1, 1
2459, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:miststalker, 40, 1, 1
2460, ocean, minecraft:deep_ocean, MONSTER, threateningly_mobs:moon_priest, 10, 1, 1
2461, ocean, minecraft:deep_ocean, MONSTER, fantasyfauna:mushcap_glowing, 50, 2, 4
2462, ocean, minecraft:deep_ocean, MONSTER, knights:noble, 50, 1, 1
2463, ocean, minecraft:deep_ocean, MONSTER, ddenizens:orc, 35, 1, 1
2464, ocean, minecraft:deep_ocean, MONSTER, threateningly_mobs:ore_drill, 32, 1, 1
2465, ocean, minecraft:deep_ocean, MONSTER, majruszsdifficulty:illusioner, 10, 1, 1
2466, ocean, minecraft:deep_ocean, MONSTER, mobz:tank_zombie, 10, 1, 1
2467, ocean, minecraft:deep_ocean, MONSTER, knights:peasant, 60, 2, 3
2468, ocean, minecraft:deep_ocean, MONSTER, fantasyfauna:possessed_armor, 20, 1, 1
2469, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:prosperisher_zombie, 50, 1, 2
2470, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:scallop, 50, 1, 2
2471, ocean, minecraft:deep_ocean, MONSTER, ddenizens:shadow, 30, 1, 1
2472, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:shadowfiend, 35, 1, 2
2473, ocean, minecraft:deep_ocean, MONSTER, ddenizens:shadowlord, 15, 1, 1
2474, ocean, minecraft:deep_ocean, MONSTER, ddenizens:skeleton_warrior, 50, 1, 2
2475, ocean, minecraft:deep_ocean, MONSTER, minecraft:cave_spider, 50, 4, 4
2476, ocean, minecraft:deep_ocean, MONSTER, specialmobs:endercreeper, 10, 1, 4
2477, ocean, minecraft:deep_ocean, MONSTER, specialmobs:drowningcreeper, 10, 1, 1
2478, ocean, minecraft:deep_ocean, MONSTER, specialmobs:blueberryslime, 10, 1, 1
2479, ocean, minecraft:deep_ocean, MONSTER, specialmobs:pirateskeleton, 10, 1, 1
2480, ocean, minecraft:deep_ocean, MONSTER, ddenizens:spectator, 25, 1, 1
2481, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:spiderling, 10, 5, 8
2482, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:tremorgue, 25, 1, 2
2483, ocean, minecraft:deep_ocean, MONSTER, creatures_expanded:undead_necromancer, 35, 1, 1
2484, ocean, minecraft:deep_ocean, MONSTER, terramity:uvogre, 10, 1, 1
2485, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:void_elemental, 40, 1, 1
2486, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:water_elemental, 20, 1, 2
2487, ocean, minecraft:deep_ocean, MONSTER, wrd:petrified_skeletonm, 10, 1, 1
2488, ocean, minecraft:deep_ocean, MONSTER, wrd:speared_petrified_skeleton_m, 10, 1, 1
2489, ocean, minecraft:deep_ocean, MONSTER, specialmobs:giantskeleton, 70, 1, 1
2490, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:griever, 30, 1, 1
2491, ocean, minecraft:deep_ocean, MONSTER, mocreatures:biggolem, 20, 1, 1
2492, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:prismaw, 30, 1, 1
2493, ocean, minecraft:deep_ocean, CREATURE, minecraft:pig, 20, 1, 1
2494, ocean, minecraft:deep_ocean, CREATURE, minecraft:pig, 20, 1, 1
2495, ocean, minecraft:deep_ocean, AMBIENT, valarian_conquest:bandit_1, 20, 1, 1
2496, ocean, minecraft:deep_ocean, MONSTER, terra_entity:green_slime, 60, 1, 3
2498, ocean, minecraft:deep_ocean, MONSTER, mobz:small_zombie, 70, 1, 1
2499, ocean, minecraft:deep_ocean, MONSTER, valarian_conquest:orc_berserker, 70, 1, 1
2500, ocean, minecraft:deep_ocean, MONSTER, terra_entity:dungeon_slime, 80, 1, 3
2501, ocean, minecraft:deep_ocean, MONSTER, terra_entity:corrupt_slime, 15, 1, 3
2502, ocean, minecraft:deep_ocean, MONSTER, wrd:dirty_skeleton, 40, 1, 1
2503, ocean, minecraft:deep_ocean, MONSTER, mocreatures:minigolem, 40, 1, 1
2504, ocean, minecraft:deep_ocean, MONSTER, terra_entity:red_slime, 15, 1, 3
2505, ocean, minecraft:deep_ocean, MONSTER, mocreatures:darkmanticore, 50, 1, 1
2506, ocean, minecraft:deep_ocean, MONSTER, mocreatures:undeadscorpion, 50, 1, 1
2507, ocean, minecraft:deep_ocean, MONSTER, mobz:zombie_mage, 70, 1, 1
2508, ocean, minecraft:deep_ocean, MONSTER, terra_entity:evil_slime, 80, 1, 3
2509, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:peeper, 5, 1, 1
2510, ocean, minecraft:deep_ocean, MONSTER, terra_entity:blue_slime, 50, 1, 3
2511, ocean, minecraft:deep_ocean, MONSTER, wrd:buff_zombie, 10, 1, 1
2512, ocean, minecraft:deep_ocean, MONSTER, terramity:elite_skeleton, 10, 1, 1
2513, ocean, minecraft:deep_ocean, MONSTER, mocreatures:silverskeleton, 70, 1, 1
2514, ocean, minecraft:deep_ocean, MONSTER, terra_entity:purple_slime, 15, 1, 3
2515, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:carcass, 30, 1, 1
2516, ocean, minecraft:deep_ocean, MONSTER, valarian_conquest:orc_warrior, 70, 1, 1
2517, ocean, minecraft:deep_ocean, MONSTER, iter_rpg:fiend, 60, 1, 1
2518, ocean, minecraft:deep_ocean, MONSTER, terra_entity:black_slime, 80, 1, 3
2520, ocean, minecraft:deep_ocean, MONSTER, terra_entity:crimson_slime, 15, 1, 3
2521, ocean, minecraft:deep_ocean, MONSTER, mobz:bigboss, 50, 1, 1
2522, ocean, minecraft:deep_ocean, MONSTER, terra_entity:yellow_slime, 15, 1, 3
2523, ocean, minecraft:deep_ocean, CREATURE, minecraft:pig, 20, 1, 1
2524, ocean, minecraft:deep_ocean, CREATURE, minecraft:pig, 20, 1, 1
2525, ocean, minecraft:deep_ocean, MONSTER, majruszsdifficulty:giant, 15, 1, 1
2526, ocean, minecraft:deep_ocean, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 1
2527, ocean, minecraft:deep_ocean, CREATURE, minecraft:pig, 20, 1, 1
2528, ocean, minecraft:deep_ocean, CREATURE, minecraft:pig, 20, 1, 1
2529, ocean, minecraft:deep_ocean, CREATURE, minecraft:pig, 20, 1, 1
2530, ocean, minecraft:deep_ocean, CREATURE, minecraft:pig, 20, 1, 1
2533, ocean, minecraft:deep_ocean, CREATURE, mythicmounts:firebird, 10, 1, 1
2534, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
2535, ocean, minecraft:deep_ocean, AMBIENT, terramity:blue_fairy, 10, 1, 2
2536, ocean, minecraft:deep_ocean, AMBIENT, ddenizens:boulder, 35, 1, 1
2537, ocean, minecraft:deep_ocean, AMBIENT, terramity:cave_gnome, 15, 1, 3
2538, ocean, minecraft:deep_ocean, AMBIENT, mythicmounts:dragon, 10, 1, 1
2539, ocean, minecraft:deep_ocean, AMBIENT, mythicmounts:geckotoalizard, 10, 1, 1
2540, ocean, minecraft:deep_ocean, AMBIENT, threateningly_mobs:giant_seacucumber, 10, 2, 4
2541, ocean, minecraft:deep_ocean, AMBIENT, terramity:green_fairy, 10, 2, 3
2542, ocean, minecraft:deep_ocean, AMBIENT, terramity:pink_fairy, 10, 1, 2
2543, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
2544, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, benssharks:cookiecutter_shark, 10, 1, 1
2545, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
2546, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
2547, ocean, minecraft:deep_ocean, WATER_CREATURE, benssharks:blue_shark, 10, 1, 1
2548, ocean, minecraft:deep_ocean, WATER_CREATURE, benssharks:greatwhiteshark, 10, 1, 1
2549, ocean, minecraft:deep_ocean, WATER_CREATURE, world:hydra, 80, 1, 1
2550, ocean, minecraft:deep_ocean, WATER_CREATURE, world:kraken, 80, 1, 1
2551, ocean, minecraft:deep_ocean, WATER_CREATURE, benssharks:mako_shark, 10, 1, 1
2552, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:dolphin, 10, 2, 4
2553, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:salmon, 10, 1, 4
2554, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:angler, 12, 1, 6
2555, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:jellyfish, 10, 1, 4
2556, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:clownfish, 12, 1, 6
2557, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:manderin, 12, 1, 6
2558, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:shark, 10, 1, 2
2559, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:hippotang, 12, 1, 6
2560, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:mantaray, 10, 1, 2
2561, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:fishy, 12, 1, 6
2562, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:anchovy, 12, 1, 6
2563, ocean, minecraft:deep_ocean, WATER_CREATURE, mocreatures:cod, 10, 1, 4
2564, ocean, minecraft:deep_ocean, WATER_CREATURE, world:shipsmall, 70, 2, 4
2565, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
2566, ocean, minecraft:deep_ocean, WATER_AMBIENT, benssharks:krill, 20, 5, 12
2567, ocean, minecraft:deep_ocean, WATER_AMBIENT, benssharks:remora, 10, 1, 3
2568, ocean, minecraft:deep_ocean, WATER_AMBIENT, threateningly_mobs:riptooth, 10, 1, 1
2569, ocean, minecraft:deep_ocean, WATER_AMBIENT, threateningly_mobs:tide_specter, 10, 1, 1
2570, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:abomination, 20, 1, 1
2571, none, terrablender:deferred_placeholder, MONSTER, iter_rpg:air_elemental, 15, 1, 2
2572, none, terrablender:deferred_placeholder, MONSTER, iter_rpg:bloated, 10, 1, 1
2573, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:brood_spider, 35, 1, 1
2574, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:crumbling_skeleton, 50, 1, 1
2575, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:crystalline_golem, 20, 1, 1
2576, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:crystalline_spider, 45, 1, 3
2577, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:embersmog, 40, 1, 3
2578, none, terrablender:deferred_placeholder, MONSTER, iter_rpg:event_spawn, 20, 1, 1
2579, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:fungal_ghoul, 60, 1, 2
2580, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:gargoyle, 50, 1, 3
2581, none, terrablender:deferred_placeholder, MONSTER, iter_rpg:giant_spider, 10, 1, 1
2582, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:gloomknight, 5, 1, 1
2583, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:gloomweaver, 30, 1, 2
2584, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:gnasheart, 60, 1, 4
2585, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:graven, 36, 3, 5
2586, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:miststalker, 40, 1, 1
2587, none, terrablender:deferred_placeholder, MONSTER, fantasyfauna:possessed_armor, 20, 1, 1
2588, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:prosperisher_zombie, 50, 1, 2
2589, none, terrablender:deferred_placeholder, MONSTER, iter_rpg:scallop, 50, 1, 2
2590, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:shadowfiend, 35, 1, 2
2591, none, terrablender:deferred_placeholder, MONSTER, iter_rpg:spiderling, 10, 5, 8
2592, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:tremorgue, 25, 1, 2
2593, none, terrablender:deferred_placeholder, MONSTER, creatures_expanded:undead_necromancer, 35, 1, 1
2594, none, terrablender:deferred_placeholder, MONSTER, terramity:uvogre, 10, 1, 1
2595, none, terrablender:deferred_placeholder, MONSTER, iter_rpg:void_elemental, 40, 1, 1
2596, none, terrablender:deferred_placeholder, MONSTER, iter_rpg:water_elemental, 20, 1, 2
2597, none, terrablender:deferred_placeholder, MONSTER, specialmobs:bruteskeleton, 70, 1, 1
2598, none, terrablender:deferred_placeholder, MONSTER, specialmobs:gatlingskeleton, 70, 1, 1
2599, none, terrablender:deferred_placeholder, MONSTER, specialmobs:knightskeleton, 70, 1, 1
2600, none, terrablender:deferred_placeholder, MONSTER, specialmobs:ninjaskeleton, 70, 1, 1
2601, none, terrablender:deferred_placeholder, MONSTER, specialmobs:sniperskeleton, 70, 1, 1
2602, none, terrablender:deferred_placeholder, MONSTER, specialmobs:brutezombie, 70, 1, 1
2603, none, terrablender:deferred_placeholder, MONSTER, specialmobs:plaguezombie, 70, 1, 1
2605, none, terrablender:deferred_placeholder, MONSTER, specialmobs:fishingzombie, 70, 1, 1
2606, none, terrablender:deferred_placeholder, MONSTER, specialmobs:hungryzombie, 70, 1, 1
2607, none, terrablender:deferred_placeholder, MONSTER, wrd:bulky_ancient_skeleton, 15, 1, 1
2608, none, terrablender:deferred_placeholder, MONSTER, wrd:ancient_skeleton_skull, 20, 1, 1
2609, none, terrablender:deferred_placeholder, MONSTER, specialmobs:minicreeper, 40, 1, 1
2610, none, terrablender:deferred_placeholder, MONSTER, valarian_conquest:gardonian_knight, 5, 1, 1
2611, none, terrablender:deferred_placeholder, MONSTER, valarian_conquest:visgothian_archer, 30, 1, 1
2612, none, terrablender:deferred_placeholder, MONSTER, valarian_conquest:orc_raider, 10, 1, 1
2613, none, terrablender:deferred_placeholder, MONSTER, valarian_conquest:numerian_spearman, 20, 1, 1
2615, none, terrablender:deferred_placeholder, AMBIENT, terramity:blue_fairy, 10, 1, 2
2616, none, terrablender:deferred_placeholder, AMBIENT, terramity:cave_gnome, 15, 1, 3
2617, none, terrablender:deferred_placeholder, AMBIENT, terramity:green_fairy, 10, 2, 3
2618, none, terrablender:deferred_placeholder, AMBIENT, terramity:pink_fairy, 10, 1, 2
2619, none, terrablender:deferred_placeholder, WATER_CREATURE, world:hydra, 80, 1, 1
2620, none, terrablender:deferred_placeholder, WATER_CREATURE, world:kraken, 80, 1, 1
2621, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
2622, desert, minecraft:desert, MONSTER, minecraft:zombie, 80, 4, 4
2623, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
2624, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
2625, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
2626, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
2627, desert, minecraft:desert, MONSTER, minecraft:enderman, 20, 1, 4
2628, desert, minecraft:desert, MONSTER, minecraft:witch, 20, 1, 1
2629, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
2630, desert, minecraft:desert, MONSTER, creatures_expanded:abomination, 20, 1, 1
2631, desert, minecraft:desert, MONSTER, monsterplus:abyssologer, 10, 1, 1
2632, desert, minecraft:desert, MONSTER, iter_rpg:air_elemental, 15, 1, 2
2633, desert, minecraft:desert, MONSTER, knights:archer, 40, 2, 3
2634, desert, minecraft:desert, MONSTER, threateningly_mobs:armor_desert, 60, 1, 1
2635, desert, minecraft:desert, MONSTER, ddenizens:beholder, 10, 1, 1
2636, desert, minecraft:desert, MONSTER, iter_rpg:bloated, 10, 1, 1
2637, desert, minecraft:desert, MONSTER, creatures_expanded:brood_spider, 35, 1, 1
2638, desert, minecraft:desert, MONSTER, threateningly_mobs:cave_hunter, 12, 1, 1
2639, desert, minecraft:desert, MONSTER, creatures_expanded:crumbling_skeleton, 50, 1, 1
2640, desert, minecraft:desert, MONSTER, monsterplus:crystal_zombie, 80, 2, 7
2641, desert, minecraft:desert, MONSTER, creatures_expanded:crystalline_golem, 20, 1, 1
2642, desert, minecraft:desert, MONSTER, creatures_expanded:crystalline_spider, 45, 1, 3
2643, desert, minecraft:desert, MONSTER, ddenizens:daemon, 10, 1, 1
2644, desert, minecraft:desert, MONSTER, ddenizens:death_tyrant, 10, 1, 1
2645, desert, minecraft:desert, MONSTER, glorious_creatures:desert_lurker, 20, 1, 1
2646, desert, minecraft:desert, MONSTER, threateningly_mobs:dracoscorpius, 40, 1, 2
2647, desert, minecraft:desert, MONSTER, terramity:duskrok, 10, 1, 1
2648, desert, minecraft:desert, MONSTER, threateningly_mobs:elite_zombie_warrior, 10, 1, 2
2649, desert, minecraft:desert, MONSTER, creatures_expanded:embersmog, 40, 1, 3
2650, desert, minecraft:desert, MONSTER, iter_rpg:event_spawn, 20, 1, 1
2651, desert, minecraft:desert, MONSTER, threateningly_mobs:ferox_death_worm, 10, 1, 1
2652, desert, minecraft:desert, MONSTER, ddenizens:fossilized_skeleton, 25, 1, 2
2653, desert, minecraft:desert, MONSTER, creatures_expanded:fungal_ghoul, 60, 1, 2
2654, desert, minecraft:desert, MONSTER, creatures_expanded:gargoyle, 50, 1, 3
2655, desert, minecraft:desert, MONSTER, ddenizens:gazer, 25, 1, 1
2656, desert, minecraft:desert, MONSTER, ddenizens:ghoul, 25, 1, 1
2657, desert, minecraft:desert, MONSTER, iter_rpg:giant_spider, 10, 1, 1
2658, desert, minecraft:desert, MONSTER, creatures_expanded:gloomknight, 5, 1, 1
2659, desert, minecraft:desert, MONSTER, creatures_expanded:gloomweaver, 30, 1, 2
2660, desert, minecraft:desert, MONSTER, monsterplus:glow_skeleton, 80, 1, 5
2661, desert, minecraft:desert, MONSTER, creatures_expanded:gnasheart, 60, 1, 4
2662, desert, minecraft:desert, MONSTER, creatures_expanded:graven, 36, 3, 5
2663, desert, minecraft:desert, MONSTER, ddenizens:headless, 40, 1, 1
2664, desert, minecraft:desert, MONSTER, knights:heavyknight, 40, 1, 1
2665, desert, minecraft:desert, MONSTER, ddenizens:iron_skeleton, 15, 1, 1
2666, desert, minecraft:desert, MONSTER, creatures_expanded:kamikaze_creeper, 45, 1, 2
2667, desert, minecraft:desert, MONSTER, knights:knight, 50, 3, 5
2668, desert, minecraft:desert, MONSTER, threateningly_mobs:lich_re, 10, 1, 1
2669, desert, minecraft:desert, MONSTER, ddenizens:magma_skeleton, 40, 1, 1
2670, desert, minecraft:desert, MONSTER, creatures_expanded:miststalker, 40, 1, 1
2671, desert, minecraft:desert, MONSTER, terra_entity:desert_slime, 30, 1, 2
2672, desert, minecraft:desert, MONSTER, terra_entity:tomb_crawler, 80, 1, 1
2673, desert, minecraft:desert, MONSTER, terra_entity:antlion_swarmer, 70, 1, 1
2674, desert, minecraft:desert, MONSTER, terra_entity:giant_antlion_swarmer, 70, 1, 1
2675, desert, minecraft:desert, MONSTER, terra_entity:harpy, 60, 1, 2
2676, desert, minecraft:desert, MONSTER, terra_entity:big_helmet_anger_bones, 20, 1, 1
2677, desert, minecraft:desert, MONSTER, terra_entity:big_muscle_anger_bones, 20, 1, 1
2678, desert, minecraft:desert, MONSTER, terra_entity:big_bones, 40, 1, 2
2679, desert, minecraft:desert, MONSTER, terra_entity:short_bones, 40, 1, 2
2680, desert, minecraft:desert, MONSTER, terra_entity:anger_bones, 40, 1, 2
2681, desert, minecraft:desert, MONSTER, terra_entity:big_anger_bones, 30, 1, 2
2682, desert, minecraft:desert, MONSTER, terra_entity:cursed_skull, 15, 1, 1
2683, desert, minecraft:desert, MONSTER, terra_entity:dark_caster, 20, 1, 1
2684, desert, minecraft:desert, MONSTER, mocreatures:biggolem, 10, 1, 1
2685, desert, minecraft:desert, MONSTER, mocreatures:dirtscorpion, 10, 1, 3
2686, desert, minecraft:desert, MONSTER, mocreatures:minigolem, 40, 1, 1
2687, desert, minecraft:desert, MONSTER, mocreatures:plainmanticore, 50, 1, 1
2688, desert, minecraft:desert, MONSTER, mocreatures:silverskeleton, 70, 1, 1
2689, desert, minecraft:desert, MONSTER, mocreatures:darkmanticore, 50, 1, 3
2690, desert, minecraft:desert, MONSTER, mocreatures:cavescorpion, 50, 1, 3
2691, desert, minecraft:desert, MONSTER, threateningly_mobs:moon_priest, 10, 1, 1
2692, desert, minecraft:desert, MONSTER, pumpeddesertremake:mummy, 10, 4, 4
2693, desert, minecraft:desert, MONSTER, fantasyfauna:mushcap_glowing, 50, 2, 4
2694, desert, minecraft:desert, MONSTER, knights:noble, 50, 1, 1
2695, desert, minecraft:desert, MONSTER, ddenizens:orc, 35, 1, 1
2696, desert, minecraft:desert, MONSTER, threateningly_mobs:ore_drill, 32, 1, 1
2697, desert, minecraft:desert, MONSTER, majruszsdifficulty:cursed_armor, 50, 1, 1
2698, desert, minecraft:desert, MONSTER, majruszsdifficulty:illusioner, 10, 1, 1
2699, desert, minecraft:desert, MONSTER, mobz:tank_zombie, 10, 1, 1
2700, desert, minecraft:desert, MONSTER, knights:peasant, 60, 2, 3
2701, desert, minecraft:desert, MONSTER, fantasyfauna:possessed_armor, 20, 1, 1
2702, desert, minecraft:desert, MONSTER, creatures_expanded:prosperisher_zombie, 50, 1, 2
2703, desert, minecraft:desert, MONSTER, pumpeddesertremake:sand_storm, 40, 1, 1
2704, desert, minecraft:desert, MONSTER, threateningly_mobs:sandworm, 15, 1, 1
